index,type,name,content,details,example content
1,space_event:general,청소,"주최자와 참가자는 세션 후 개인 소지품이나 쓰레기 제거를 포함하여 정리할 책임이 있습니다.",,
1,space_event:exception,월요일 행사,space:availability^mon-11:00-15:00^월요일 행사 허용 요청,"이 특별 규칙은 월요일 세션을 선호하는 지역 사회 구성원을 배려하여 월요일에 요가 수업을 개최할 수 있도록 하여 공간에 대한 포괄적인 접근을 보장합니다.",
2,space_event:general,장비 원위치,"스피커는 실내에만 배치해야 하며, 소음이 이웃에게 미치는 영향을 최소화하기 위해 문과 창문에서 떨어진 위치에 놓아야 합니다.",,
2,space_event:exception,소음 규정,space:max_noise_level^high^상대적으로 큰 음악 소리가 날 수 있습니다.,"이 행사에서는 큰 음악이 허용되지만, 이웃을 배려하여 오후 6시까지 종료해야 합니다. 확성기는 허용되나, 볼륨은 75데시벨을 넘지 않아야 합니다."
2,space_event:exception,수용 인원,space:max_attendee^100^어린이 대상 행사이므로 더 많은 인원을 수용할 수 있습니다.,
3,space_event:general,공연 중 휴대폰 사용 자제,"공연 중에는 휴대폰을 끄거나 무음으로 설정하고, 영상 촬영이나 통화 등은 자제하여 다른 관객과 공연자의 집중을 방해하지 않도록 해야 합니다.",,
3,space_event:general,공연 중 소음 최소화,"공연 도중 큰 소리로 대화를 나누거나 과도한 소음을 내는 것은 공연을 방해할 수 있습니다. 공연을 즐기면서도 다른 관객과의 예의를 지켜야 합니다.",,
3,space_event:exception,소음 규정,space:max_noise_level^high^라이브 공연이므로 상대적으로 큰 음악 소리가 날 수 있습니다.,"이 행사에서는 큰 음악이 허용되지만, 이웃을 배려하여 오후 6시까지 종료해야 합니다. 확성기는 허용되나, 볼륨은 75데시벨을 넘지 않아야 합니다."
4,space_event:general,보행자 통행로 확보,"공연 중 관객이나 장비가 보행자 도로를 막지 않도록 주의해야 합니다. 사람들이 안전하게 지나다닐 수 있도록 공간을 확보하는 것이 중요합니다.",,
4,space_event:general,청결 유지,"공연이 끝난 후 현장을 깨끗하게 정리하고, 쓰레기를 남기지 않도록 해야 합니다. 버스킹을 허용하는 지역에서는 청결 유지가 공연 허가 유지에 중요한 요소가 될 수 있습니다.",,
4,space_event:exception,다음 행사 준비 시간,space:availability_buffer^1h^공연 후 정리에 시간이 더 필요합니다.,
5,space_event:general,청결 유지,"운동 후 쓰레기를 남기지 않도록 해야 합니다.",,
5,space_event:exception,아침 운동,space:availability^sun-06:00-10:00^아침 시간 운동으로 허용을 요청합니다.,